datetime,season,mask_shed,mask_up,Q_shed_kW,Q_up_kW,P_IT_kW,P_Cool_kW,P_Other_kW
2024-07-28 12:15:00,Summer,False,False,0.0,0.0,2472.0137862555785,565.0981979270321,658.8880158173897
2024-07-28 12:30:00,Summer,False,False,0.0,0.0,2439.9421718608705,563.4781474847888,650.3396806543411
2024-07-28 12:45:00,Summer,False,False,0.0,0.0,2482.2163001938493,561.7763164016897,661.607383404461
2024-07-28 13:00:00,Summer,False,False,0.0,0.0,2489.6890860974686,559.9917418179107,663.5991720846212
2024-07-28 13:15:00,Summer,False,False,0.0,0.0,2473.863407020378,558.9155811431526,659.3810118364692
2024-07-28 13:30:00,Summer,False,False,0.0,0.0,2472.9728896700026,558.123456073531,659.1436542564661
2024-07-28 13:45:00,Summer,False,False,0.0,0.0,2507.2057964242754,557.00614551035,668.2680580653746
2024-07-28 14:00:00,Summer,False,False,0.0,0.0,2506.349651212859,556.170486787152,668.0398619999893
2024-07-28 14:15:00,Summer,False,False,0.0,0.0,2501.297971718357,554.8886357460167,666.6933925356261
2024-07-28 14:30:00,Summer,False,False,0.0,0.0,2531.137223138301,553.5760608976695,674.6467159640297
2024-07-28 14:45:00,Summer,False,False,0.0,0.0,2506.426440615573,552.2332300159007,668.0603293685256
2024-07-28 15:00:00,Summer,False,False,0.0,0.0,2519.637738175323,550.8606067726472,671.5816550520292
2024-07-28 15:15:00,Summer,False,False,0.0,0.0,2485.718569586299,551.5805557222258,662.5408746914754
2024-07-28 15:30:00,Summer,False,False,0.0,0.0,2525.8570450069033,552.583612285439,673.2393427076577
2024-07-28 15:45:00,Summer,False,False,0.0,0.0,2497.793366124775,553.5673553152641,665.759278559961
2024-07-28 16:00:00,Summer,False,False,0.0,0.0,2523.044964051773,554.2252224103274,672.4898135378993
2024-07-28 16:15:00,Summer,False,False,0.0,0.0,2501.5000720655585,552.7126677798303,666.747260154611
2024-07-28 16:30:00,Summer,False,False,0.0,0.0,2507.2899559096195,551.1395542422147,668.290489848166
